jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,cena,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
8G14-40M-A58,CHEVROLET,Cruze Turbo ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro15",2010-,GT1446MZGL,860156,781504-0011,557.02,8G1440MA58,860156,7815040011,1,140
8G14-40M-A58,OPEL,Adam 1.4 S,"1,4",140HP,"Ecotec B14NET,Euro6",2010-,GT1446MZGL,E55574901,781504-5011S,557.02,8G1440MA58,E55574901,7815045011S,1,140
8G14-40M-A58,OPEL,Astra J 1.4 Turbo ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro7",2010-,GT1446MZGL,860156,781504-5007W,557.02,8G1440MA58,860156,7815045007W,1,140
8G14-40M-A58,OPEL,Meriva B 1.4 ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro8",2010-,GT1446MZGL,55565353,781504-5007S,557.02,8G1440MA58,55565353,7815045007S,1,140
8G14-40M-A58,OPEL,Mokka 1.4 Turbo ecoFLEX,"1,4",140HP,"Ecotec B14NET,Euro9",2010-,GT1446MZGL,860156,781504-5006S,557.02,8G1440MA58,860156,7815045006S,1,140
8G14-40M-A58,OPEL,Adam 1.4 S,"1,4",140HP,"Ecotec B14NET,Euro11",2010-,GT1446MZGL,860156,781504-5001S,557.02,8G1440MA58,860156,7815045001S,1,140
8G14-40M-A58,OPEL,Astra J 1.4 Turbo ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro12",2010-,GT1446MZGL,55565353,781504-0004,557.02,8G1440MA58,55565353,7815040004,1,140
8G14-40M-A58,OPEL,Meriva B 1.4 ECOTEC,"1,4",140HP,"Ecotec B14NET,Euro13",2010-,GT1446MZGL,860156,781504-0006,557.02,8G1440MA58,860156,7815040006,1,140
8G14-40M-A58,OPEL,Mokka 1.4 Turbo ecoFLEX,"1,4",140HP,"Ecotec B14NET,Euro14",2010-,GT1446MZGL,55565353,781504-0007,557.02,8G1440MA58,55565353,7815040007,1,140
8G14-40M-A58,OPEL,Adam 1.4 S,"1,4",140HP,"Ecotec B14NET,Euro16",2010-,GT1446MZGL,55565353,853215-0003,557.02,8G1440MA58,55565353,8532150003,1,140
